"Data","Hora","Abertura","Maxima","Minima","Fechamento","ULT"
"21/05/2021","00:00:00","17,5500","17,5800","17,2300","17,3800","17,3900"
"20/05/2021","00:00:00","17,5500","17,6400","17,3700","17,5400","17,3900"
"19/05/2021","00:00:00","17,3700","17,6000","17,3300","17,5600","17,3900"
"18/05/2021","00:00:00","17,3500","17,5900","17,2600","17,4200","17,3900"
"17/05/2021","00:00:00","17,2300","17,5300","17,1000","17,4000","17,3900"
"14/05/2021","00:00:00","17,1000","17,3300","17,0600","17,1800","17,3900"
"13/05/2021","00:00:00","17,0000","17,1400","16,7600","16,8800","17,3900"
"12/05/2021","00:00:00","16,6500","17,2300","16,6500","16,8700","17,3900"
"11/05/2021","00:00:00","16,3500","17,0000","16,2500","16,8700","17,3900"
"10/05/2021","00:00:00","16,1500","16,6500","16,0900","16,5000","17,3900"
"07/05/2021","00:00:00","16,1900","16,3300","16,0000","16,2100","17,3900"
"06/05/2021","00:00:00","15,8400","16,2900","15,7200","16,1800","17,3900"
"05/05/2021","00:00:00","14,6500","14,9200","14,5700","14,8600","17,3900"
"04/05/2021","00:00:00","14,7400","14,8000","14,5400","14,6400","17,3900"
"03/05/2021","00:00:00","14,9200","14,9900","14,6100","14,8000","17,3900"
"30/04/2021","00:00:00","15,2000","15,3000","14,9100","14,9400","17,3900"
"29/04/2021","00:00:00","15,2100","15,4600","15,2100","15,2600","17,3900"
"28/04/2021","00:00:00","15,3000","15,4100","15,1800","15,2100","17,3900"
"27/04/2021","00:00:00","15,5100","15,6000","15,2100","15,2900","17,3900"
"26/04/2021","00:00:00","15,6000","15,8500","15,4800","15,5900","17,3900"
"23/04/2021","00:00:00","15,9800","16,0500","15,8200","15,8500","17,3900"
"22/04/2021","00:00:00","15,8900","16,1100","15,6600","15,9000","17,3900"
"20/04/2021","00:00:00","15,6700","15,8000","15,5300","15,6200","17,3900"
"19/04/2021","00:00:00","15,5400","16,0700","15,5100","15,7300","17,3900"
"16/04/2021","00:00:00","15,7900","15,9600","15,7200","15,8000","17,3900"
"15/04/2021","00:00:00","15,7900","16,0300","15,7200","15,8700","17,3900"
"14/04/2021","00:00:00","15,6400","15,9000","15,6200","15,8100","17,3900"
"13/04/2021","00:00:00","15,5000","15,7400","15,3700","15,6300","17,3900"
"12/04/2021","00:00:00","15,5000","15,6000","15,3600","15,5100","17,3900"
"09/04/2021","00:00:00","15,2200","15,6400","15,2100","15,3600","17,3900"
"08/04/2021","00:00:00","15,2000","15,6700","15,1400","15,4500","17,3900"
"07/04/2021","00:00:00","15,2300","15,4300","15,0900","15,2200","17,3900"
"06/04/2021","00:00:00","15,2700","15,4800","15,1600","15,3900","17,3900"
"05/04/2021","00:00:00","15,1300","15,3900","15,1000","15,2700","17,3900"
"01/04/2021","00:00:00","15,3900","15,4000","14,9900","15,0000","17,3900"
"31/03/2021","00:00:00","15,6000","15,6700","15,2900","15,2900","17,3900"
"30/03/2021","00:00:00","15,1300","15,7300","15,0800","15,5900","17,3900"
