"Data","Hora","Abertura","Maxima","Minima","Fechamento","ULT"
"21/05/2021","00:00:00","122.701,4400","122.799,3600","121.760,3700","122.618,1900","122.618,1900"
"20/05/2021","00:00:00","122.635,9375","122.733,9531","122.136,1562","122.700,7891","122.618,1900"
"19/05/2021","00:00:00","122.975,9297","123.013,3984","121.595,2734","122.636,2969","122.618,1900"
"18/05/2021","00:00:00","122.937,4219","123.543,6797","122.549,7891","122.979,9609","122.618,1900"
"17/05/2021","00:00:00","121.880,2812","123.074,2109","121.680,4688","122.937,8672","122.618,1900"
"14/05/2021","00:00:00","120.719,1719","122.194,5469","120.719,1719","121.880,8203","122.618,1900"
"13/05/2021","00:00:00","119.711,2891","121.426,3438","119.711,2891","120.705,9062","122.618,1900"
"12/05/2021","00:00:00","122.963,9609","122.963,9609","119.458,4297","119.710,0312","122.618,1900"
"11/05/2021","00:00:00","121.903,8203","122.964,0078","120.145,4375","122.964,0078","122.618,1900"
"10/05/2021","00:00:00","122.038,1094","122.772,3672","121.794,5000","121.909,0312","122.618,1900"
"07/05/2021","00:00:00","119.921,6875","122.038,1094","119.921,6875","122.038,1094","122.618,1900"
"06/05/2021","00:00:00","119.576,7891","119.966,4219","119.071,0391","119.920,6094","122.618,1900"
"05/05/2021","00:00:00","117.724,6406","119.733,8594","117.724,6406","119.564,4375","122.618,1900"
"04/05/2021","00:00:00","119.209,4766","119.293,4219","117.630,6172","117.712,0000","122.618,1900"
"03/05/2021","00:00:00","118.951,2812","119.903,8672","118.527,5078","119.209,4766","122.618,1900"
"30/04/2021","00:00:00","120.064,3438","120.124,6094","118.893,8438","118.893,8438","122.618,1900"
"29/04/2021","00:00:00","121.052,8203","121.497,8594","119.702,8672","120.065,7500","122.618,1900"
"28/04/2021","00:00:00","119.391,7031","121.275,8594","119.391,7031","121.052,5234","122.618,1900"
"27/04/2021","00:00:00","120.594,6094","121.012,3438","119.003,2734","119.388,3672","122.618,1900"
"26/04/2021","00:00:00","120.533,7188","121.392,7188","119.859,6016","120.594,6094","122.618,1900"
"23/04/2021","00:00:00","119.372,0391","120.814,8281","119.372,0391","120.530,0625","122.618,1900"
"22/04/2021","00:00:00","120.064,3594","120.994,8438","119.203,2031","119.371,4766","122.618,1900"
"20/04/2021","00:00:00","120.925,0625","121.353,8203","119.841,3281","120.061,9922","122.618,1900"
"19/04/2021","00:00:00","121.116,0469","121.974,2109","120.682,1719","120.933,7812","122.618,1900"
"16/04/2021","00:00:00","120.700,6719","121.333,3594","120.198,8984","121.113,9297","122.618,1900"
"15/04/2021","00:00:00","120.290,2578","121.408,7188","120.083,9688","120.700,6719","122.618,1900"
"14/04/2021","00:00:00","119.297,5312","120.871,4531","119.297,5312","120.294,6797","122.618,1900"
"13/04/2021","00:00:00","118.809,3516","119.529,1562","118.041,1406","119.297,1328","122.618,1900"
"12/04/2021","00:00:00","117.660,7734","118.811,7422","117.660,7734","118.811,7422","122.618,1900"
"09/04/2021","00:00:00","118.312,6328","118.643,0312","117.336,1172","117.669,8984","122.618,1900"
"08/04/2021","00:00:00","117.623,7500","118.849,7500","117.486,0078","118.313,2266","122.618,1900"
"07/04/2021","00:00:00","117.498,8672","118.303,2812","116.747,9531","117.623,5781","122.618,1900"
"06/04/2021","00:00:00","117.519,4062","118.212,6016","117.175,9766","117.498,8672","122.618,1900"
