"Data","Hora","Abertura","Maxima","Minima","Fechamento","ULT"
"21/05/2021","00:00:00","26,0800","26,3100","25,9500","26,0700","26,0700"
"20/05/2021","00:00:00","26,1500","26,2800","25,7200","25,9300","26,0700"
"19/05/2021","00:00:00","25,8500","26,3500","25,8000","26,1500","26,0700"
"18/05/2021","00:00:00","26,7000","26,8000","26,2700","26,3500","26,0700"
"17/05/2021","00:00:00","26,3000","26,6600","26,2000","26,6600","26,0700"
"14/05/2021","00:00:00","25,8000","26,3800","25,5500","26,2800","26,0700"
"13/05/2021","00:00:00","24,7600","25,1000","24,4300","24,9900","26,0700"
"12/05/2021","00:00:00","24,9500","25,5300","24,6900","24,7800","26,0700"
"11/05/2021","00:00:00","24,4400","25,1700","24,3200","25,1500","26,0700"
"10/05/2021","00:00:00","24,8000","24,9800","24,5800","24,7000","26,0700"
"07/05/2021","00:00:00","23,6400","24,4500","23,4600","24,3800","26,0700"
"06/05/2021","00:00:00","23,7100","23,8500","23,4000","23,5000","26,0700"
"05/05/2021","00:00:00","23,1700","23,9500","23,1200","23,8300","26,0700"
"04/05/2021","00:00:00","23,5400","23,6400","22,8800","22,8900","26,0700"
"03/05/2021","00:00:00","23,8000","23,8100","23,3000","23,4300","26,0700"
"30/04/2021","00:00:00","23,4000","23,9300","23,2800","23,6200","26,0700"
"29/04/2021","00:00:00","24,1200","24,2900","23,4200","23,6200","26,0700"
"28/04/2021","00:00:00","23,4000","24,0900","23,3600","23,9400","26,0700"
"27/04/2021","00:00:00","23,8200","24,1700","23,1000","23,1000","26,0700"
"26/04/2021","00:00:00","23,8500","24,0500","23,6100","23,7800","26,0700"
"23/04/2021","00:00:00","23,8800","23,9400","23,5100","23,6900","26,0700"
"22/04/2021","00:00:00","24,1400","24,1900","23,6500","23,7100","26,0700"
"20/04/2021","00:00:00","24,3300","24,5900","23,7600","23,8200","26,0700"
"19/04/2021","00:00:00","22,9500","24,8900","22,7700","24,2800","26,0700"
"16/04/2021","00:00:00","23,1300","23,2400","22,8100","22,9500","26,0700"
"15/04/2021","00:00:00","23,7000","23,8300","23,0200","23,0900","26,0700"
"14/04/2021","00:00:00","23,4140","23,7816","23,2011","23,5591","26,0700"
"13/04/2021","00:00:00","23,2011","23,3269","22,9206","23,1915","26,0700"
"12/04/2021","00:00:00","23,1818","23,5785","23,0076","23,1141","26,0700"
"09/04/2021","00:00:00","22,7367","23,0076","22,6110","22,8819","26,0700"
"08/04/2021","00:00:00","23,2011","23,2592","22,6110","22,9302","26,0700"
"07/04/2021","00:00:00","23,1624","23,5494","23,1528","23,2205","26,0700"
"06/04/2021","00:00:00","23,3946","23,5785","23,1334","23,2398","26,0700"
"05/04/2021","00:00:00","23,3463","23,4140","22,9109","23,2592","26,0700"
"01/04/2021","00:00:00","23,5011","23,5978","23,0076","23,1141","26,0700"
