"Data","Hora","Abertura","Maxima","Minima","Fechamento","ULT"
"21/05/2021","00:00:00","111,1100","111,2500","108,5000","109,4100","109,4100"
"20/05/2021","00:00:00","111,7000","112,1000","110,2000","111,1100","109,4100"
"19/05/2021","00:00:00","112,1000","112,7800","109,8400","112,2500","109,4100"
"18/05/2021","00:00:00","114,5600","115,4000","113,1900","114,6000","109,4100"
"17/05/2021","00:00:00","111,5000","113,8200","111,1700","113,4600","109,4100"
"14/05/2021","00:00:00","111,2000","111,7900","109,6200","110,5600","109,4100"
"13/05/2021","00:00:00","112,0000","114,2200","110,7200","112,4900","109,4100"
"12/05/2021","00:00:00","118,0000","118,4600","113,9600","114,3300","109,4100"
"11/05/2021","00:00:00","113,9800","118,7200","113,3200","118,7200","109,4100"
"10/05/2021","00:00:00","119,8000","120,4500","114,6900","114,6900","109,4100"
"07/05/2021","00:00:00","116,5400","116,5500","114,1900","115,4500","109,4100"
"06/05/2021","00:00:00","111,9400","115,2000","111,4800","115,0500","109,4100"
"05/05/2021","00:00:00","111,9900","112,8200","110,3900","110,7100","109,4100"
"04/05/2021","00:00:00","108,9500","111,0700","108,6600","110,1000","109,4100"
"03/05/2021","00:00:00","109,7000","110,3500","108,2600","108,4600","109,4100"
"30/04/2021","00:00:00","110,9900","111,5600","109,0200","109,0200","109,4100"
"29/04/2021","00:00:00","112,1900","112,9500","110,8900","111,9500","109,4100"
"28/04/2021","00:00:00","110,5600","112,4300","109,3300","111,9200","109,4100"
"27/04/2021","00:00:00","108,8800","110,6000","108,5200","110,1200","109,4100"
"26/04/2021","00:00:00","109,9500","110,6900","108,1500","108,5700","109,4100"
"23/04/2021","00:00:00","107,1500","108,1000","106,4600","107,9900","109,4100"
"22/04/2021","00:00:00","107,2400","107,2400","104,3400","106,2300","109,4100"
"20/04/2021","00:00:00","107,9500","108,3500","105,0200","106,1600","109,4100"
"19/04/2021","00:00:00","109,0000","109,8800","107,6400","107,7300","109,4100"
"16/04/2021","00:00:00","108,6400","109,1100","107,5000","108,6700","109,4100"
"15/04/2021","00:00:00","108,6600","109,8800","107,5500","108,2100","109,4100"
"14/04/2021","00:00:00","103,9700","107,7800","103,7700","107,0000","109,4100"
"13/04/2021","00:00:00","103,9000","104,2900","102,8500","103,5800","109,4100"
"12/04/2021","00:00:00","102,9000","103,6300","102,2100","103,4000","109,4100"
"09/04/2021","00:00:00","104,0000","104,6600","102,9400","103,0000","109,4100"
"08/04/2021","00:00:00","104,9400","105,3000","104,1200","104,5000","109,4100"
"07/04/2021","00:00:00","102,3700","105,3200","102,1500","104,5600","109,4100"
"06/04/2021","00:00:00","103,8000","104,5600","102,0500","102,0500","109,4100"
"05/04/2021","00:00:00","99,8300","103,8200","99,8000","103,3900","109,4100"
"01/04/2021","00:00:00","98,5000","98,8600","96,1300","97,3900","109,4100"
"31/03/2021","00:00:00","97,1700","98,5600","96,7000","97,9700","109,4100"
"30/03/2021","00:00:00","97,9100","98,5000","96,5800","97,0700","109,4100"
"29/03/2021","00:00:00","96,0000","98,4500","95,8700","97,9800","109,4100"
"26/03/2021","00:00:00","93,7400","95,7300","93,3900","95,5300","109,4100"
"25/03/2021","00:00:00","93,0400","93,2900","90,6100","92,4400","109,4100"
"24/03/2021","00:00:00","92,0000","94,6400","91,8100","93,1500","109,4100"
"23/03/2021","00:00:00","93,3400","93,7800","91,0600","91,0600","109,4100"
"22/03/2021","00:00:00","93,5200","93,8400","91,8500","93,2100","109,4100"
"19/03/2021","00:00:00","96,1000","96,1600","93,4400","94,7800","109,4100"
"18/03/2021","00:00:00","97,7000","98,2700","95,5300","96,1600","109,4100"
"17/03/2021","00:00:00","96,4000","98,1200","96,0600","97,9000","109,4100"
"16/03/2021","00:00:00","97,0400","97,8400","96,0200","96,5100","109,4100"
"15/03/2021","00:00:00","96,5000","97,3500","95,7600","96,8200","109,4100"
"12/03/2021","00:00:00","99,0000","99,4400","96,7100","97,4000","109,4100"
"11/03/2021","00:00:00","98,9900","100,1000","98,2100","99,7000","109,4100"
"10/03/2021","00:00:00","97,5000","97,8400","95,7200","97,1500","109,4100"
"09/03/2021","00:00:00","97,5000","99,3100","95,8800","98,6700","109,4100"
"08/03/2021","00:00:00","99,2000","101,9300","98,9000","99,6700","109,4100"
"05/03/2021","00:00:00","94,7200","100,6000","93,9300","100,2100","109,4100"
"04/03/2021","00:00:00","95,2658","97,2689","93,4640","94,7483","109,4100"
"03/03/2021","00:00:00","97,7577","99,6745","95,5054","96,1763","109,4100"
"02/03/2021","00:00:00","93,4449","97,9302","90,9913","97,3743","109,4100"
"01/03/2021","00:00:00","92,0073","95,1988","91,3939","94,4704","109,4100"
"26/02/2021","00:00:00","92,5344","93,6365","90,1096","90,5888","109,4100"
"25/02/2021","00:00:00","94,5950","94,8346","91,0680","91,7293","109,4100"
"24/02/2021","00:00:00","93,0903","94,1253","91,8731","93,8570","109,4100"
"23/02/2021","00:00:00","92,5727","93,3011","89,4291","92,9177","109,4100"
"22/02/2021","00:00:00","92,4865","94,4224","90,1288","91,3843","109,4100"
"19/02/2021","00:00:00","93,1669","94,7387","92,3235","93,7036","109,4100"
"18/02/2021","00:00:00","93,3107","94,3074","92,0264","93,3490","109,4100"
"17/02/2021","00:00:00","92,0168","92,6973","91,2309","92,3427","109,4100"
"12/02/2021","00:00:00","89,2470","90,2246","88,3653","89,9850","109,4100"
"11/02/2021","00:00:00","91,4993","91,4993","89,2279","89,2279","109,4100"
"10/02/2021","00:00:00","90,7230","91,6910","90,4546","90,7613","109,4100"
"09/02/2021","00:00:00","90,6655","91,2597","88,4803","90,3300","109,4100"
"08/02/2021","00:00:00","89,1033","90,9626","88,6049","90,1000","109,4100"
"05/02/2021","00:00:00","86,4485","88,9116","85,8255","88,8349","109,4100"
"04/02/2021","00:00:00","88,1257","89,0074","85,3846","85,5763","109,4100"
"03/02/2021","00:00:00","85,1546","87,6177","84,9150","86,6689","109,4100"
"02/02/2021","00:00:00","86,4293","86,8127","83,8704","84,0141","109,4100"
"01/02/2021","00:00:00","86,2664","87,4740","84,8959","87,4740","109,4100"
"29/01/2021","00:00:00","86,2472","87,0714","84,1387","84,2921","109,4100"
"28/01/2021","00:00:00","84,5317","87,5507","84,4358","87,3110","109,4100"
"27/01/2021","00:00:00","86,6306","87,3877","84,5317","85,4901","109,4100"
"26/01/2021","00:00:00","89,1224","90,2438","87,5602","87,9340","109,4100"
"22/01/2021","00:00:00","88,1640","89,9083","87,2056","89,2950","109,4100"
"21/01/2021","00:00:00","88,4611","92,1031","88,3078","89,4771","109,4100"
"20/01/2021","00:00:00","91,0488","91,1830","87,0523","88,4803","109,4100"
"19/01/2021","00:00:00","90,5696","90,6367","88,0778","90,1479","109,4100"
"18/01/2021","00:00:00","89,9946","91,6622","89,6592","90,3875","109,4100"
"15/01/2021","00:00:00","92,5631","93,1573","89,3237","89,6592","109,4100"
"14/01/2021","00:00:00","93,1765","94,7483","92,6781","93,7324","109,4100"
"13/01/2021","00:00:00","94,7579","94,8058","91,7581","92,2181","109,4100"
"12/01/2021","00:00:00","98,2369","98,3519","95,0550","95,0646","109,4100"
"11/01/2021","00:00:00","96,0805","97,7385","95,5534","97,7385","109,4100"
"08/01/2021","00:00:00","98,7257","99,0516","94,1158","97,7577","109,4100"
"07/01/2021","00:00:00","92,5919","98,2657","92,5919","98,0644","109,4100"
"06/01/2021","00:00:00","91,0297","92,3427","90,4738","91,6335","109,4100"
"05/01/2021","00:00:00","87,6561","89,1320","86,7552","89,1320","109,4100"
"04/01/2021","00:00:00","85,6338","87,6752","85,1546","87,6561","109,4100"
"30/12/2020","00:00:00","83,5637","83,9470","83,0461","83,8129","109,4100"
"29/12/2020","00:00:00","84,3112","84,5317","82,9120","83,4487","109,4100"
"28/12/2020","00:00:00","84,1387","84,8959","83,4582","83,6787","109,4100"
"23/12/2020","00:00:00","82,9311","83,8895","82,8065","83,7266","109,4100"
"22/12/2020","00:00:00","83,2474","83,3720","81,8769","83,3241","109,4100"
"21/12/2020","00:00:00","82,5669","83,7649","81,2539","83,2474","109,4100"
"18/12/2020","00:00:00","83,9758","84,7042","83,7937","84,1483","109,4100"
"17/12/2020","00:00:00","82,9024","84,2921","82,5861","83,5733","109,4100"
"16/12/2020","00:00:00","81,3689","82,6436","80,8514","82,6340","109,4100"
"15/12/2020","00:00:00","80,6597","81,8289","80,5159","80,9856","109,4100"
"14/12/2020","00:00:00","81,6564","81,6756","79,5000","80,0751","109,4100"
"11/12/2020","00:00:00","81,1006","81,7331","80,8897","81,3306","109,4100"
"10/12/2020","00:00:00","80,1709","81,6756","79,7396","81,4648","109,4100"
"09/12/2020","00:00:00","79,6438","80,3434","78,8004","79,2604","109,4100"
"08/12/2020","00:00:00","79,5192","79,8355","78,2637","79,4521","109,4100"
"07/12/2020","00:00:00","78,9921","79,5384","78,2733","79,5000","109,4100"
"04/12/2020","00:00:00","76,7686","79,2412","76,7686","78,5704","109,4100"
"03/12/2020","00:00:00","77,6311","77,6790","75,3405","75,6760","109,4100"
"02/12/2020","00:00:00","77,5353","77,8707","74,0946","76,5194","109,4100"
"01/12/2020","00:00:00","76,5098","78,1103","75,9539","77,8707","109,4100"
"30/11/2020","00:00:00","75,5705","76,0593","73,9125","74,7559","109,4100"
"27/11/2020","00:00:00","73,7975","75,5035","73,5770","75,1776","109,4100"
"26/11/2020","00:00:00","72,2832","73,4141","72,2640","73,3854","109,4100"
"25/11/2020","00:00:00","70,7306","72,7432","70,5485","72,3599","109,4100"
"24/11/2020","00:00:00","68,0950","71,7752","67,2611","71,6890","109,4100"
"23/11/2020","00:00:00","65,9481","68,3537","65,6510","68,3250","109,4100"
"20/11/2020","00:00:00","65,1047","65,5935","64,6447","65,5935","109,4100"
"19/11/2020","00:00:00","63,9355","64,9035","63,7054","64,9035","109,4100"
"18/11/2020","00:00:00","64,2038","64,5872","63,3221","63,6863","109,4100"
"17/11/2020","00:00:00","62,1049","65,2676","62,1049","64,1846","109,4100"
"16/11/2020","00:00:00","60,8590","62,6224","60,3510","62,2199","109,4100"
"13/11/2020","00:00:00","60,1210","60,9069","60,0060","60,6194","109,4100"
"12/11/2020","00:00:00","60,9261","61,1177","59,8622","60,0635","109,4100"
"11/11/2020","00:00:00","60,5523","61,2615","60,3798","60,9548","109,4100"
"10/11/2020","00:00:00","60,6098","60,9452","60,0827","60,5331","109,4100"
"09/11/2020","00:00:00","61,4819","61,5969","60,2552","60,5619","109,4100"
"06/11/2020","00:00:00","59,7855","61,2998","59,7472","60,5619","109,4100"
"05/11/2020","00:00:00","59,7089","60,4373","58,8942","59,9485","109,4100"
"04/11/2020","00:00:00","60,6481","60,6481","58,8942","59,0188","109,4100"
"03/11/2020","00:00:00","59,3255","60,7056","58,6738","60,7056","109,4100"
"30/10/2020","00:00:00","59,2297","59,8143","57,5141","58,0317","109,4100"
"29/10/2020","00:00:00","58,4342","59,6514","57,3033","59,4405","109,4100"
"28/10/2020","00:00:00","59,3734","59,4884","57,7441","57,7537","109,4100"
"27/10/2020","00:00:00","59,9006","60,2839","59,4789","59,9293","109,4100"
"26/10/2020","00:00:00","60,2839","60,8110","59,4309","59,9006","109,4100"
"23/10/2020","00:00:00","60,0156","61,2327","59,6322","60,8110","109,4100"
"22/10/2020","00:00:00","60,4852","60,8494","59,8430","60,4756","109,4100"
"21/10/2020","00:00:00","59,0859","60,5810","59,0380","60,2360","109,4100"
"20/10/2020","00:00:00","59,2105","59,6993","58,7792","59,2680","109,4100"
"19/10/2020","00:00:00","60,1210","60,5523","59,3734","59,3734","109,4100"
"16/10/2020","00:00:00","60,0922","60,4756","59,6514","59,6514","109,4100"
"15/10/2020","00:00:00","59,8143","60,2456","59,4022","59,8718","109,4100"
"14/10/2020","00:00:00","59,4980","60,6577","59,4597","60,3798","109,4100"
"13/10/2020","00:00:00","58,7217","60,0347","58,4917","59,5555","109,4100"
"09/10/2020","00:00:00","59,1242","59,3638","58,3192","59,0380","109,4100"
"08/10/2020","00:00:00","57,8400","58,9326","57,5620","58,7409","109,4100"
"07/10/2020","00:00:00","56,6803","58,2329","56,5078","57,6675","109,4100"
"06/10/2020","00:00:00","57,5141","57,7729","55,7890","56,1819","109,4100"
"05/10/2020","00:00:00","56,4503","57,3512","56,3065","57,1116","109,4100"
"02/10/2020","00:00:00","56,1723","56,9678","55,6931","55,8944","109,4100"
"01/10/2020","00:00:00","57,0541","57,3608","55,6069","56,4119","109,4100"
"30/09/2020","00:00:00","56,7474","57,7633","56,3065","56,6516","109,4100"
"29/09/2020","00:00:00","56,2874","57,4662","55,9232","55,9232","109,4100"
"28/09/2020","00:00:00","57,4470","57,7346","56,2586","56,3353","109,4100"
"25/09/2020","00:00:00","55,9232","56,9774","55,7794","56,7857","109,4100"
"24/09/2020","00:00:00","57,2074","57,2937","56,0094","56,2203","109,4100"
"23/09/2020","00:00:00","55,2714","57,1308","54,6868","56,6420","109,4100"
"22/09/2020","00:00:00","55,7219","55,8561","54,7731","55,4056","109,4100"
"21/09/2020","00:00:00","56,1860","56,4989","54,7043","55,2196","109,4100"
"18/09/2020","00:00:00","57,5020","58,0726","56,7474","56,7474","109,4100"
"17/09/2020","00:00:00","55,5878","57,4468","55,3209","57,1339","109,4100"
"16/09/2020","00:00:00","57,3548","57,5205","55,8178","56,1124","109,4100"
"15/09/2020","00:00:00","57,7137","58,5788","57,1983","57,6125","109,4100"
"14/09/2020","00:00:00","57,7966","58,3027","56,4897","56,9775","109,4100"
"11/09/2020","00:00:00","55,2657","57,3364","55,0724","57,0143","109,4100"
"10/09/2020","00:00:00","55,2196","55,4037","53,6735","53,8668","109,4100"
"09/09/2020","00:00:00","55,1276","55,5233","54,6398","55,2196","109,4100"
"08/09/2020","00:00:00","54,8423","54,9988","54,2165","54,5478","109,4100"
"04/09/2020","00:00:00","54,9527","55,6798","54,0232","55,6706","109,4100"
"03/09/2020","00:00:00","55,2196","55,7258","54,1613","54,5938","109,4100"
"02/09/2020","00:00:00","56,9683","57,3732","55,5141","56,4345","109,4100"
"01/09/2020","00:00:00","55,4865","56,8670","55,4037","56,8394","109,4100"
"31/08/2020","00:00:00","56,2320","56,2780","54,9251","54,9251","109,4100"
"28/08/2020","00:00:00","56,3056","56,7842","55,7994","56,2320","109,4100"
"27/08/2020","00:00:00","56,7750","57,2259","55,5233","55,9467","109,4100"
"26/08/2020","00:00:00","56,7474","57,3824","56,3608","56,8302","109,4100"
"25/08/2020","00:00:00","57,7966","57,8334","56,1860","56,7106","109,4100"
"24/08/2020","00:00:00","57,9254","58,1003","57,2812","57,9438","109,4100"
"21/08/2020","00:00:00","57,4376","57,7873","56,6093","57,2444","109,4100"
"20/08/2020","00:00:00","56,8946","58,4408","56,7566","57,9346","109,4100"
"19/08/2020","00:00:00","58,3580","58,7905","57,3640","57,4192","109,4100"
"18/08/2020","00:00:00","58,2567","58,6248","57,8426","58,0358","109,4100"
"17/08/2020","00:00:00","56,8578","57,6125","56,2780","57,2720","109,4100"
"14/08/2020","00:00:00","55,5417","56,5357","55,4957","56,4621","109,4100"
"13/08/2020","00:00:00","56,5081","57,2075","55,3209","55,5417","109,4100"
"12/08/2020","00:00:00","56,0295","57,3272","55,7534","56,6001","109,4100"
"11/08/2020","00:00:00","57,7873","57,8150","55,3669","55,4773","109,4100"
"10/08/2020","00:00:00","55,8639","57,2444","55,5970","57,2444","109,4100"
"07/08/2020","00:00:00","56,4989","56,4989","55,0172","55,6338","109,4100"
"06/08/2020","00:00:00","57,6309","57,8702","56,3977","56,9038","109,4100"
"05/08/2020","00:00:00","56,9683","57,8886","56,9222","57,2352","109,4100"
"04/08/2020","00:00:00","55,4589","55,9927","54,6306","55,8639","109,4100"
"03/08/2020","00:00:00","56,9314","57,6769","55,4589","55,4589","109,4100"
"31/07/2020","00:00:00","56,2320","57,2536","55,6798","55,8731","109,4100"
"30/07/2020","00:00:00","57,3364","57,4008","55,8178","56,3885","109,4100"
"29/07/2020","00:00:00","56,3332","57,9346","56,0019","57,9346","109,4100"
"28/07/2020","00:00:00","55,8639","56,2872","55,4037","55,5325","109,4100"
"27/07/2020","00:00:00","54,3913","56,7198","54,2809","56,4805","109,4100"
"24/07/2020","00:00:00","53,9036","54,1613","53,2133","53,9312","109,4100"
"23/07/2020","00:00:00","55,1276","55,3669","53,9680","54,1613","109,4100"
"22/07/2020","00:00:00","55,1552","55,4497","54,1152","54,5202","109,4100"
"21/07/2020","00:00:00","55,6246","55,6614","54,5478","54,9435","109,4100"
"20/07/2020","00:00:00","56,2504","56,5909","55,5417","55,9559","109,4100"
"17/07/2020","00:00:00","55,6798","56,3700","55,5141","56,1768","109,4100"
"16/07/2020","00:00:00","56,4161","56,7750","55,0816","55,3301","109,4100"
"15/07/2020","00:00:00","57,3364","57,9162","55,5786","56,8670","109,4100"
"14/07/2020","00:00:00","53,3054","57,0327","53,2869","56,7842","109,4100"
"13/07/2020","00:00:00","53,1305","54,5018","53,0569","53,0569","109,4100"
"10/07/2020","00:00:00","52,0169","52,7348","51,6856","52,4310","109,4100"
"09/07/2020","00:00:00","52,9372","53,0845","51,5935","51,9249","109,4100"
"08/07/2020","00:00:00","52,3666","53,1213","51,3451","52,7532","109,4100"
"07/07/2020","00:00:00","52,2194","52,4402","51,6304","51,8788","109,4100"
"06/07/2020","00:00:00","51,6212","52,2194","51,1610","52,0629","109,4100"
"03/07/2020","00:00:00","50,8021","51,2622","50,5536","50,8573","109,4100"
"02/07/2020","00:00:00","50,4799","51,2990","50,3879","51,0690","109,4100"
"01/07/2020","00:00:00","51,6120","51,6120","49,7437","50,1946","109,4100"
"30/06/2020","00:00:00","51,0229","52,0353","50,6272","51,4647","109,4100"
"29/06/2020","00:00:00","51,0229","51,4555","50,4707","51,1978","109,4100"
"26/06/2020","00:00:00","51,4463","52,4126","50,8113","51,1886","109,4100"
"25/06/2020","00:00:00","51,0782","51,6764","50,4984","51,5383","109,4100"
"24/06/2020","00:00:00","51,7684","51,7776","50,4523","50,9769","109,4100"
"23/06/2020","00:00:00","51,1058","52,0537","50,9585","51,1610","109,4100"
"22/06/2020","00:00:00","50,6180","50,9401","50,0934","50,6180","109,4100"
"19/06/2020","00:00:00","51,8420","52,0905","50,3511","50,7745","109,4100"
"18/06/2020","00:00:00","51,8144","52,0353","51,1794","51,6948","109,4100"
"17/06/2020","00:00:00","51,0690","51,9433","50,7560","51,7224","109,4100"
"16/06/2020","00:00:00","51,0690","51,0782","49,9001","50,9769","109,4100"
"15/06/2020","00:00:00","48,3172","50,0934","47,9767","49,5872","109,4100"
"12/06/2020","00:00:00","49,4308","49,7437","47,8386","49,1455","109,4100"
"10/06/2020","00:00:00","50,5352","50,8021","49,4768","49,8817","109,4100"
"09/06/2020","00:00:00","49,8449","50,6088","49,8081","50,6088","109,4100"
"08/06/2020","00:00:00","50,5996","51,2162","49,6793","50,4155","109,4100"
"05/06/2020","00:00:00","51,8973","52,1826","50,0106","50,2591","109,4100"
"04/06/2020","00:00:00","49,4400","51,2622","49,2559","51,2254","109,4100"
"03/06/2020","00:00:00","49,6056","50,0106","49,1271","49,3848","109,4100"
"02/06/2020","00:00:00","49,5136","49,5136","48,7773","49,1639","109,4100"
"01/06/2020","00:00:00","48,6117","49,5596","48,3172","49,1639","109,4100"
"29/05/2020","00:00:00","47,3048","48,7773","46,9919","48,7773","109,4100"
"28/05/2020","00:00:00","46,9367","47,5349","46,0624","46,0992","109,4100"
"27/05/2020","00:00:00","45,8691","46,7802","44,8936","46,6054","109,4100"
"26/05/2020","00:00:00","46,3661","46,4949","44,9488","45,2801","109,4100"
"25/05/2020","00:00:00","47,3140","47,5625","45,9427","46,1084","109,4100"
"22/05/2020","00:00:00","46,7250","47,0287","45,9243","46,2649","109,4100"
"21/05/2020","00:00:00","48,1239","48,4644","46,3569","47,0563","109,4100"
"20/05/2020","00:00:00","49,1179","49,3940","48,3172","48,3172","109,4100"
"19/05/2020","00:00:00","47,2128","48,5104","47,0195","48,2620","109,4100"
"18/05/2020","00:00:00","46,3293","47,4889","45,9703","47,1760","109,4100"
"15/05/2020","00:00:00","44,8107","45,3721","44,2217","44,2217","109,4100"
"14/05/2020","00:00:00","44,1297","44,5991","43,2002","44,2585","109,4100"
"13/05/2020","00:00:00","44,3322","45,2617","43,8628","44,6727","109,4100"
"12/05/2020","00:00:00","44,5714","44,7279","43,6787","43,6787","109,4100"
"11/05/2020","00:00:00","44,3690","45,3261","43,9272","43,9272","109,4100"
"08/05/2020","00:00:00","43,7155","45,0592","43,2278","44,9580","109,4100"
"07/05/2020","00:00:00","41,9945","43,2370","41,8289","42,3811","109,4100"
"06/05/2020","00:00:00","40,6693","41,1938","40,1355","40,7981","109,4100"
"05/05/2020","00:00:00","40,9085","41,4423","40,2183","40,2183","109,4100"
"04/05/2020","00:00:00","40,2183","40,7981","39,9422","40,4300","109,4100"
"30/04/2020","00:00:00","42,0682","42,4915","41,1938","41,2859","109,4100"
"29/04/2020","00:00:00","41,7368","43,6051","41,2675","43,0069","109,4100"
"28/04/2020","00:00:00","41,5988","41,6816","40,0158","41,0558","109,4100"
"27/04/2020","00:00:00","40,9177","41,4607","40,3656","41,0006","109,4100"
